date,code,open,high,low,close,volume,amount,turn,pctChg
2025-08-15,sz.002642,7.9300000000,8.0800000000,7.9000000000,8.0500000000,17681510,141801336.3100,2.672600,1.385400
2025-08-18,sz.002642,8.0600000000,8.3300000000,8.0600000000,8.2500000000,34578239,285202158.1400,5.226600,2.484500
2025-08-19,sz.002642,8.2200000000,8.5000000000,8.2100000000,8.3600000000,36163450,302845450.5000,5.466200,1.333300
2025-08-20,sz.002642,8.3100000000,8.3700000000,8.2100000000,8.3600000000,26225900,217650962.5000,3.964100,0.000000
2025-08-21,sz.002642,8.3700000000,8.5100000000,8.3100000000,8.3900000000,26478739,222159471.0900,4.002300,0.358900
2025-08-22,sz.002642,8.4400000000,8.5400000000,8.3900000000,8.5300000000,41348056,350745482.0000,6.249900,1.668700
2025-08-25,sz.002642,8.6000000000,8.8100000000,8.4400000000,8.5000000000,49714208,426864436.8600,7.514500,-0.351700
2025-08-26,sz.002642,8.4900000000,9.2900000000,8.4200000000,8.8100000000,69606008,616398468.5500,10.521200,3.647100
2025-08-27,sz.002642,8.8600000000,9.0500000000,8.6300000000,8.6300000000,62107699,550355131.8500,9.387800,-2.043100
2025-08-28,sz.002642,8.6800000000,8.9600000000,8.5100000000,8.9300000000,65907812,579500692.5300,9.962200,3.476200
2025-08-29,sz.002642,8.9300000000,8.9500000000,8.6500000000,8.6600000000,43590643,380832543.9600,6.588900,-3.023500
2025-09-01,sz.002642,8.8100000000,9.5300000000,8.8100000000,9.5300000000,51106571,479800670.1300,7.724900,10.046200
2025-09-02,sz.002642,10.0100000000,10.4800000000,9.4600000000,9.5100000000,208962185,2097362569.9400,31.585300,-0.209900
2025-09-03,sz.002642,9.4000000000,9.9700000000,9.1400000000,9.7100000000,136851501,1317895725.0300,20.685500,2.103000
2025-09-04,sz.002642,9.4100000000,9.6000000000,8.7400000000,8.7400000000,114201100,1040854952.2400,17.261900,-9.989700
2025-09-05,sz.002642,8.8500000000,8.9600000000,8.4500000000,8.9600000000,78479329,686724258.9600,11.862400,2.517200
2025-09-08,sz.002642,8.8500000000,8.9300000000,8.6900000000,8.9000000000,56774883,500979634.5100,8.581700,-0.669600
2025-09-09,sz.002642,8.8800000000,9.3400000000,8.7700000000,9.0100000000,73598567,667376418.9500,11.124700,1.236000
2025-09-10,sz.002642,9.3100000000,9.4500000000,9.1100000000,9.1200000000,76751666,711168760.6500,11.601300,1.220900
2025-09-11,sz.002642,9.9600000000,10.0300000000,9.7600000000,10.0300000000,49937266,498785485.9800,7.548200,9.978100
2025-09-12,sz.002642,10.8200000000,11.0300000000,10.1200000000,10.1500000000,213342133,2264150181.7000,32.247400,1.196400
2025-09-15,sz.002642,10.5300000000,11.1700000000,10.4000000000,11.1700000000,156596277,1673600974.4500,23.670000,10.049300
2025-09-16,sz.002642,11.5700000000,12.0000000000,11.1000000000,11.1600000000,207437766,2385654888.2300,31.354900,-0.089500
2025-09-17,sz.002642,11.0900000000,11.3800000000,10.5100000000,10.5500000000,154240281,1667771913.2200,23.313900,-5.465900
2025-09-18,sz.002642,10.5000000000,10.6300000000,9.9200000000,10.0200000000,124153704,1273832350.9300,18.766200,-5.023700
2025-09-19,sz.002642,10.0300000000,10.2300000000,9.7700000000,9.8100000000,64807232,641598931.6300,9.795800,-2.095800
2025-09-22,sz.002642,9.8000000000,10.1000000000,9.7200000000,10.0300000000,64413222,638040691.1700,9.736300,2.242600
2025-09-23,sz.002642,10.0500000000,10.0500000000,9.5000000000,9.6700000000,60971513,588401270.8600,9.216000,-3.589200
2025-09-24,sz.002642,9.5800000000,9.7400000000,9.4800000000,9.7000000000,45341202,434569483.8400,6.853500,0.310200
2025-09-25,sz.002642,9.7300000000,10.1500000000,9.6800000000,9.9100000000,64689703,644229926.8500,9.778100,2.164900
2025-09-26,sz.002642,9.7100000000,9.7300000000,9.3700000000,9.3700000000,48466641,461243446.1800,7.325900,-5.449000
2025-09-29,sz.002642,9.3000000000,9.3900000000,9.1100000000,9.3400000000,33559341,310978984.2000,5.072600,-0.320200
2025-09-30,sz.002642,9.3900000000,9.4900000000,9.3100000000,9.3600000000,24619500,230775397.0000,3.721300,0.214100
2025-10-09,sz.002642,9.3600000000,9.4100000000,9.2800000000,9.3000000000,31368550,292592492.2000,4.741500,-0.641000
2025-10-10,sz.002642,9.2400000000,9.2500000000,9.1000000000,9.1100000000,29589805,271366135.4000,4.472600,-2.043000
2025-10-13,sz.002642,8.6100000000,9.0500000000,8.5500000000,9.0300000000,28350700,251329030.0000,4.285300,-0.878200
2025-10-14,sz.002642,9.0600000000,9.1400000000,8.7800000000,8.8200000000,27142000,242781256.0000,4.102600,-2.325600
2025-10-15,sz.002642,8.8300000000,9.1000000000,8.7600000000,9.0500000000,24309428,217807641.4000,3.674400,2.607700
2025-10-16,sz.002642,9.0300000000,9.0300000000,8.8900000000,8.9100000000,18889350,168770557.2000,2.855200,-1.547000
2025-10-17,sz.002642,8.8900000000,8.9400000000,8.6700000000,8.6700000000,21032252,184723897.4400,3.179100,-2.693600
2025-10-20,sz.002642,8.7700000000,8.8600000000,8.7500000000,8.8300000000,15077010,132866998.3000,2.278900,1.845400
2025-10-21,sz.002642,8.8300000000,8.9400000000,8.7800000000,8.9400000000,16335000,145197256.0000,2.469100,1.245800
2025-10-22,sz.002642,8.8900000000,9.0100000000,8.8500000000,8.9700000000,16767800,150296155.0000,2.534500,0.335600
